# HCP-VS limbic striatum subject-level connectivity values
# Created: 2026-06-03
#
# This file contains HCP Subject IDs and derived hippocampus-ventral striatum (HPC-VS) limbic striatum connectivity values only.
# Connectivity columns correspond to the source variables limbic_Left and limbic_Right from averaged_data.sav.
# No HCP behavioral, demographic, diagnostic, alcohol-use, or other questionnaire variables are included in this file.
# Those HCP measures must be obtained through the Human Connectome Project/ConnectomeDB under the appropriate data-use terms.
# Open-access HCP data require ConnectomeDB registration and acceptance of the Open Access Data Use Terms.
# Restricted HCP data elements require a separate Restricted Data application; each investigator who will view/use restricted data must apply, and approval is case-by-case.
# ConnectomeDB: https://db.humanconnectome.org
# HCP Young Adult Data Use Terms and Restricted Data application links: https://www.humanconnectome.org/study/hcp-young-adult/data-use-terms
# Restricted Data Usage overview: https://www.humanconnectome.org/study/hcp-young-adult/document/restricted-data-usage
#
# N subjects with complete left/right HPC-VS limbic striatum values: 626
#
Subject	HPC_VS_limbic_striatum_left	HPC_VS_limbic_striatum_right
687163	0.322696666666667	0.421323666666667
690152	0.418058333333333	0.351417666666667
693764	0.394017333333333	0.351527666666667
695768	0.373351333333333	0.314835333333333
700634	0.284548333333333	0.436749666666667
702133	0.299663666666667	0.457752
705341	0.464259666666667	0.435896
707749	0.471706333333333	0.286111333333333
709551	0.287346333333333	0.436757333333333
724446	0.347743666666667	0.377406333333333
725751	0.185435333333333	0.403621333333333
729557	0.327212	0.413864333333333
731140	0.311188	0.272708
732243	0.360391	0.413969333333333
734045	0.453269666666667	0.390515333333333
735148	0.584855333333333	0.522005
742549	0.438146	0.411928
744553	0.228651333333333	0.272001
748258	0.423124666666667	0.261401666666667
749058	0.441660666666667	0.441307
751348	0.290831333333333	0.369372
751550	0.268528	0.396964666666667
753150	0.336655666666667	0.25366
759869	0.507263333333333	0.470997333333333
761957	0.392341666666667	0.393222666666667
765056	0.317386333333333	0.425675
767464	0.389113	0.346804666666667
769064	0.433434666666667	0.397292
770352	0.384103333333333	0.411345666666667
771354	0.241258	0.438363666666667
773257	0.255285333333333	0.419572333333333
779370	0.563711666666667	0.565239
782561	0.260106333333333	0.393713333333333
783462	0.375402333333333	0.370868333333333
784565	0.205997666666667	0.464572333333333
786569	0.334525	0.436094
788876	0.336100333333333	0.351003333333333
789373	0.310522666666667	0.417484333333333
792564	0.359464666666667	0.350831
800941	0.329113	0.354680666666667
802844	0.515997333333333	0.459672
803240	0.422240666666667	0.335191333333333
810843	0.524816666666667	0.461645
812746	0.455319666666667	0.316936
816653	0.41317	0.34766
825048	0.308832333333333	0.246081666666667
826353	0.376943666666667	0.397244
826454	0.547066333333333	0.485945333333333
833148	0.293522666666667	0.308911333333333
833249	0.357205333333333	0.434487666666667
835657	0.466007333333333	0.512266
837560	0.347630333333333	0.369327
837964	0.373626666666667	0.373914666666667
841349	0.380898	0.415210333333333
843151	0.382449	0.471836333333333
844961	0.347125	0.357745333333333
845458	0.445250333333333	0.407897
849264	0.430734666666667	0.354073
849971	0.488858666666667	0.421383666666667
852455	0.272546	0.298571
856463	0.421998	0.461221
856766	0.396167666666667	0.345239333333333
856968	0.395843	0.380222
859671	0.353236	0.316314666666667
865363	0.511272	0.37089
867468	0.557816	0.538865333333333
870861	0.437723666666667	0.394312
871762	0.314499666666667	0.301796333333333
871964	0.380445666666667	0.315106
872562	0.473854	0.434911666666667
873968	0.305593666666667	0.444550333333333
877269	0.364622333333333	0.428389333333333
882161	0.364590666666667	0.430379333333333
887373	0.224865666666667	0.496011
891667	0.448395	0.329839333333333
894673	0.310279666666667	0.397242666666667
896879	0.222801333333333	0.346092666666667
901139	0.429513666666667	0.488224
901442	0.415563666666667	0.548252
904044	0.444719	0.372463666666667
907656	0.370362333333333	0.415629333333333
910241	0.456356333333333	0.574804333333333
910443	0.364989666666667	0.485506333333333
912447	0.318035666666667	0.460863
917255	0.286598	0.539720333333333
917558	0.229718666666667	0.340532666666667
922854	0.379490333333333	0.390456
927359	0.254049333333333	0.297099666666667
930449	0.358112666666667	0.280911333333333
932554	0.275204	0.370062
942658	0.306732666666667	0.291240333333333
947668	0.284575666666667	0.561094666666667
952863	0.225113	0.278626333333333
955465	0.488171333333333	0.465476333333333
957974	0.431177666666667	0.368568333333333
